product_id,product_name,category,subcategory,cost_price
104,Wall Clock Plus,Electronics,Mobiles,585.69
105,History Textbook,Electronics,Cameras,4603.74
106,Non-Stick Pan Max,Clothing,Footwear,12388.4
107,Comic Bundle Classic,Books,Academic,9019.27
108,Bluetooth Speaker Pro,Home,Bedding,11401.83
109,USB Cable Max,Home,Decor,8237.97
110,Cotton T-Shirt Plus,Electronics,Mobiles,2149.72
111,  Winter Jacket Classic  ,Books,Fiction,2979.03
112,Denim Jeans,Clothing,Footwear,5102.11
113,Bluetooth Speaker Plus,Electronics,Cameras,6887.95
114,Wireless Earbuds Classic,Clothing,Footwear,11056.4
115,Mystery Novel Classic,Books,Children,11727.17
116,Bluetooth Speaker Plus,Clothing,Women,9879.95
117,Wall Clock Plus,Home,Cleaning,14693.54
118,Wall Clock Max,Clothing,Kids,14558.85
119,Bedsheet Set Classic,Clothing,Women,10515.21
120,Non-Stick Pan,Home,Cleaning,11065.44
121,Denim Jeans Classic,Clothing,Women,10730.05
122,Cook Book Classic,Clothing,Women,10429.96
123,Comic Bundle Plus,Electronics,Audio,8762.95
124,Kids Hoodie Plus,Books,Children,12134.16
125,Smart Watch Pro,Electronics,Accessories,10070.3
126,Power  Bank  Max,Clothing,Kids,2239.1
127,smartphone max,Clothing,Winterwear,12219.69
128,Cook Book,Books,Non-Fiction,4350.2
129,Bedsheet Set,Books,Comics,4724.18
130,Denim Jeans Classic,Electronics,Audio,13039.31
131,USB Cable,Books,Non-Fiction,10657.7
132,Kids Hoodie Plus,Clothing,Women,2702.52
133,Yoga  Mat  Classic,Clothing,Women,1834.34
134,  Cotton T-Shirt Classic  ,Home,Furniture,12697.91
135,Smart Watch Max,Clothing,Men,8973.36
136,Kids Storybook Classic,Home,Bedding,5403.38
137,Running Shoes Lite,Home,Cleaning,7833.06
138,Comic Bundle Classic,Clothing,Footwear,6081.09
139,Non-Stick Pan Max,Clothing,Kids,4438.94
140,Coffee Mug,Books,Children,181.62
141,USB Cable Classic,Books,Non-Fiction,13783.18
142,Wall Clock Pro,Electronics,Audio,5818.85
143,Cook Book Max,Home,Kitchen,7738.92
144,Kids Hoodie,Books,Fiction,2928.06
145,Coffee Mug Classic,Electronics,Laptops,8021.43
146,Power Bank Plus,Clothing,Women,12543.19
147,Yoga Mat,Books,Fiction,2348.63
148,Laptop Bag Pro,Home,Kitchen,861.31
149,Running Shoes Max,Electronics,Cameras,6144.11
150,NON-STICK PAN PRO,Books,Comics,5873.05
